ID,NAME,TYPE,PARENT_ID
300,IFL,LC,305
301,Benak,LC,457
302,Babez,LC,457
304,Phnom Penh,LC,305
305,Cambodia,MC,1630
306,NAMPULA (Closed),LC,1574
337,z. DENVER // (Closed),LC,1621
399,NUM,LC,409
400,SALZBURG (CLOSED),LC,1592
401,"-Closed, NJU",LC,1613
402,"-Closed, SISU",LC,1613
409,Mongolia,MC,1630
412,Central University,LC,1568
413,MUBS,LC,1602
416,SAMARA - Expansions,LC,1618
417,Port-Louis,LC,489
418,POLTAVA,LC,1610
421,University of Tsukuba,LC,1615
424,AIESEC in SAUT,LC,567
426,OLOMOUC,LC,1570
427,[CLOSED] AVEIRO,LC,1544
428,ROSARIO,LC,1551
429,UCC (University of Cape Coast),LC,1568
430,KNUST,LC,1568
431,Linköping,LC,1601
432,Closed,LC,1585
433,LAURIER,LC,1554
434,MC BRASIL,LC,1606
435,SAO CARLOS,LC,1606
436,ESPM (closed),LC,1606
440,Muscat City,LC,477
444,Madrid,LC,1619
445,BALTI,LC,536
446,z. APPALACHIAN // (Closed),LC,1621
457,Algeria,MC,1632
458,ENEAM,LC,459
459,Benin,MC,1632
460,"ULB, St. Louis, IHECS, ICHEC",LC,1624
461,VUB,LC,1624
464,Reduit,LC,489
465,TEC,LC,577
473,"-Closed, HUST",LC,1613
475,AAU in ETHIOPIA,LC,476
476,Ethiopia,MC,1632
477,Sultanate of Oman,MC,1632
479,ITAJUBA,LC,1606
480,"Taylor's University (TU) , Subang Jaya",LC,1611
485,Islamabad,LC,1603
486,SMU,LC,1575
487,KRAGUJEVAC,LC,1547
489,Mauritius,MC,1632
493,Almaty,LC,494
494,Kazakhstan,MC,1629
495,Iran,MC,1630
498,U.O.B.,LC,499
499,Gabon,MC,1632
500,IRBID,LC,530
501,AMMAN,LC,530
502,Hanoi,LC,504
503,Ho Chi Minh City,LC,504
504,VIETNAM,MC,1630
505,Rwanda (MC),LC,506
506,Rwanda,MC,1632
508,BME - Budapest,LC,1549
509,EAN,LC,1551
510,MONTERIA,LC,1551
511,TASHKENT,LC,512
513,NABEL,LC,1559
514,TBILISI,LC,531
516,QATAR UNIVERSITY,LC,529
517,(Closed RCSI),LC,518
518,Bahrain,MC,1632
523,CHAPEL HILL,LC,1621
527,DENIZLI,LC,1622
528,ANTALYA,LC,1622
529,Qatar,MC,1632
530,Jordan,MC,1632
531,Georgia,MC,1629
533,MC Ukraine,LC,1610
534,Casablanca,LC,1552
535,CHISINAU,LC,536
536,Moldova,MC,1629
537,Tajikistan,MC,1629
539,Azerbaijan,MC,1629
540,UFA,LC,1618
541,RECIFE,LC,1606
543,Kyrgyzstan,MC,1629
545,Baku Synergy,LC,539
546,DUSHANBE,LC,537
552,Sinaloa,LC,1589
553,PILSEN,LC,1570
555,Johor Bahru (JB),LC,1611
556,STRATHMORE UNIVERSITY,LC,1617
557,"-Closed, SJTU",LC,1613
559,"-Closed, THU",LC,1613
563,"-Closed, PKU",LC,1613
565,UDSM,LC,567
567,Tanzania,MC,1632
568,Karachi,LC,1603
569,Lahore - Pak,LC,1603
570,PolyU,LC,1594
571,Kabul University,LC,572
572,Afghanistan,MC,1630
576,[CLOSED] LISBOA NOVA,LC,1544
577,Costa Rica,MC,1627
579,z. CORNELL // (Closed),LC,1621
580,MIAMI FLORIDA,LC,1621
584,GALATI,LC,1560
585,OMSK - VAM,LC,1618
587,ZURICH,LC,1558
588,Delhi University,LC,1585
589,Lima,LC,1553
590,University of New South Wales (UNSW),LC,1591
591,CONSTANTA,LC,1560
593,-,LC,1624
594,LINZ,LC,1592
595,Thammasat University,LC,1607
598,ZAGREB,LC,1595
600,KRANJ - SU (EXPANSION),LC,1587
603,University of Oslo,LC,1573
604,UCC,LC,1540
605,Taiwan NTPU,LC,1561
606,Veliko Tarnovo - CLOSED,LC,1588
607,PRAGUE,LC,1570
608,Ahmedabad,LC,1585
610,Monash University,LC,1591
611,NHH,LC,1573
612,Taiwan NSYSU,LC,1561
613,Arequipa,LC,1553
614,DCU,LC,1540
616,JAIPUR,LC,1585
617,Galway (Expansion),LC,1540
618,Tartu,LC,1565
619,"Universiti  Malaya (UM) , Kuala Lumpur",LC,1611
620,Trondheim,LC,1573
623,KATOWICE UE,LC,1564
626,Tallinn,LC,1565
627,Bratislava,LC,1536
628,KRASNOYARSK - VAM,LC,1618
630,Chennai,LC,1585
631,Kolkata,LC,1585
632,Hyderabad,LC,1585
633,Comenius University,LC,1536
635,BRNO,LC,1570
636,"VICTORIA, WELLINGTON",LC,1616
638,Copenhagen,LC,1577
641,IASI,LC,1560
642,University of Antwerp (UA),LC,1624
643,KARLSRUHE,LC,1596
644,Ostrava 🚫,LC,1570
645,VARNA - CLOSED,LC,1588
646,Coimbra NEFE,LC,1544
647,STUTTGART & HOHENHEIM,LC,1596
648,REGENSBURG,LC,1596
649,VARAŽDIN (closed),LC,1595
651,Delhi IIT,LC,1585
654,Taiwan NCCU,LC,1561
655,TIMISOARA,LC,1560
656,University of Sydney,LC,1591
657,FRANKFURT (MAIN),LC,1596
658,PUCE,LC,1567
660,TERNOPIL,LC,1610
661,MANIZALES,LC,1551
663,PADERBORN,LC,1596
664,BIELEFELD,LC,1596
665,BREMEN,LC,1596
666,University of the Philippines Diliman,LC,1604
667,DARMSTADT,LC,1596
668,Košice,LC,1536
669,Catolica,LC,1553
671,University of Western Australia,LC,1591
672,Taiwan NTU,LC,1561
675,SIAULIAI [Closed],LC,1580
677,DRESDEN,LC,1596
678,BRAUNSCHWEIG,LC,1596
680,BERLIN HU,LC,1596
682,KHARKIV,LC,1610
686,AUGSBURG,LC,1596
687,UCD (Expansion),LC,1540
688,NEW YORK CITY,LC,1621
689,Trieste,LC,1542
690,SZCZECIN,LC,1564
692,POZNAŃ,LC,1564
693,BONN,LC,1596
695,Campus Brussels,LC,1624
696,JENA,LC,1596
700,Belgium (National),LC,1624
705,WROCLAW UE,LC,1564
706,LIMBURG,LC,1624
708,BERLIN TU,LC,1596
711,BIALYSTOK,LC,1564
712,KIELCE,LC,1564
713,AACHEN,LC,1596
717,CUHK,LC,1594
718,MC Dominican Republic,LC,1599
720,KYOTO UNIVERSITY,LC,1615
721,Valencia,LC,1619
723,MARINGÁ,LC,1606
724,UNAM,LC,1589
728,PRILEP,LC,1548
732,Surabaya,LC,1539
738,NUS,LC,1575
739,SKKU,LC,1562
740,USIU-Africa,LC,1617
745,UNIVERSITY,LC,1559
749,Nelson Mandela University,LC,1545
752,SARAJEVO,LC,1590
753,WARWICK,LC,1563
754,Roma Sapienza,LC,1542
757,HALLE,LC,1596
758,Pompeu Fabra Barcelona,LC,1619
759,BUCARAMANGA,LC,1551
760,HOKKAIDO,LC,1615
762,AUTH,LC,1555
763,ROTTERDAM,LC,1598
769,Málaga,LC,1619
776,HITOTSUBASHI UNIVERSITY,LC,1615
777,RIO DE JANEIRO,LC,1606
780,z. TEXAS A&M // (Closed),LC,1621
781,Kenyatta University,LC,1617
782,DAYSTAR,LC,1617
784,NORTHWESTERN,LC,1621
785,CONCEPCIÓN,LC,1566
786,UB,LC,1539
793,UI,LC,1539
796,İZMİR,LC,1622
797,HIROSHIMA,LC,1615
798,z. SAN LUIS OBISPO // (Closed),LC,1621
806,MOSTAR,LC,1590
807,OSAKA UNIVERSITY,LC,1615
811,AEGEAN,LC,1555
813,ISTANBUL,LC,1622
814,CUEA,LC,1617
816,EDINBURGH,LC,1563
818,Twente,LC,1598
821,Roma Tre,LC,1542
822,Cuenca,LC,1567
823,Wageningen,LC,1598
828,The University of Tokyo,LC,1615
829,EDMONTON,LC,1554
830,Zaragoza (CLOSED),LC,1619
834,ATHENS,LC,1555
837,ESKISEHIR,LC,1622
845,IBADAN,LC,1578
847,Buenos Aires,LC,1535
852,SASKATOON,LC,1554
854,PORTO ALEGRE,LC,1606
855,Moi University,LC,1617
859,Makerere University Kampala,LC,1602
860,Université de Lomé,LC,1543
862,GRONINGEN,LC,1598
